PE File Segment Analysis:

Segment Name         Characteristics      Avg Size of Raw Data (bytes)   Max        Min             STD                  Count
.eh_fram             RW                   585.14                         3072       512             426.49               35
.rdata               R                    5074944.0                      9741312    141312          4463767.41           6
.rodata              R                    2304.0                         3584       1024            1280.0               2
.rotext              R E                  120320.0                       120320     120320          0.0                  2
.rodata              RWE                  15872.0                        15872      15872           0.0                  2
PAGESER              R E                  18270.32                       31744      1024            8673.12              19
/19                  R                    2901.33                        4608       2048            1206.8               3
/35                  R                    54613.33                       112640     25600           41031.05             3
/47                  R                    8874.67                        16384      5120            5309.9               3
/61                  R                    72704.0                        304640     5632            116285.11            5
/73                  R                    15872.0                        15872      15872           0.0                  1
/86                  R                    1024.0                         2048       512             724.08               3
/97                  R                    32085.33                       76800      9728            31618.04             3
/108                 R                    6144.0                         15360      1536            6516.7               3
PAGESENM             R E                  6963.2                         8192       5120            1504.97              5
.text                R                    185650.69                      6963712    1024            615902.49            808
.rdata               R                    4915593.85                     71213056   512             10748598.41          65
.CLR_UEF             R E                  512.0                          512        512             0.0                  11
Section              RW                   512.0                          512        512             0.0                  3
.Shared              RW                   512.0                          512        512             0.0                  1
.msvcjmc             RW                   12595.2                        29184      512             7632.75              20
.no_bbt              R E                  3200.0                         12288      512             2949.56              40
.xbld                RW                   2901.33                        4096       512             1689.51              3
.idata               R                    6551.5                         90112      512             5923.47              1318
GFIDS                R                    4293.07                        45056      512             2642.88              1377
fothk                R E                  4096.0                         4096       4096            0.0                  1286
.tks0                R E                  4096.0                         4096       4096            0.0                  7
.tkd0                RW                   292.57                         512        0               253.37               7
.tks1                R E                  4096.0                         4096       4096            0.0                  7
.tkd1                RW                   292.57                         512        0               253.37               7
.tks2                R E                  4096.0                         4096       4096            0.0                  7
.tkd2                RW                   292.57                         512        0               253.37               7
.tks3                R E                  4096.0                         4096       4096            0.0                  7
.tkd3                RW                   292.57                         512        0               253.37               7
.tks4                R E                  4096.0                         4096       4096            0.0                  7
.tkd4                RW                   292.57                         512        0               253.37               7
.tks5                R E                  4096.0                         4096       4096            0.0                  7
.tkd5                RW                   292.57                         512        0               253.37               7
.tks6                R E                  4096.0                         4096       4096            0.0                  7
